x_coordinate,y_coordinate,x_scaled,y_scaled
33.876,44.893,2.209,2.978
38.209,41.116,2.492,2.727
35.741,57.418,2.331,3.808
32.547,57.218,2.123,3.795
62.063,47.197,4.048,3.13
53.77,35.952,3.507,2.384
32.49,42.022,2.119,2.787
55.325,52.548,3.608,3.485
68.103,52.312,4.442,3.47
53.283,31.636,3.475,2.098
67.718,47.605,4.417,3.157
32.846,54.235,2.142,3.597
61.781,60.825,4.03,4.034
62.072,65.236,4.049,4.327
37.242,48.238,2.429,3.199
48.393,67.525,3.156,4.479
35.49,54.102,2.315,3.588
65.609,51.851,4.279,3.439
38.029,39.828,2.48,2.642
65.494,44.284,4.272,2.937
41.604,60.213,2.714,3.994
48.414,45.355,3.158,3.008
41.82,35.811,2.728,2.375
51.769,56.96,3.377,3.778
45.18,61.057,2.947,4.05
38.022,44.346,2.48,2.941
56.372,49.534,3.677,3.285
52.053,57.766,3.395,3.831
44.244,41.743,2.886,2.769
40.333,52.077,2.631,3.454
53.597,55.587,3.496,3.687
45.873,43.816,2.992,2.906
54.0,61.467,3.522,4.077
52.689,44.378,3.437,2.943
53.254,44.723,3.473,2.966
63.542,47.982,4.144,3.182
65.389,47.737,4.265,3.166
49.733,46.05,3.244,3.054
48.581,56.787,3.169,3.766
48.03,56.604,3.133,3.754
44.667,61.716,2.913,4.093
65.309,56.528,4.26,3.749
40.586,45.813,2.647,3.039
43.935,49.108,2.866,3.257
32.874,41.145,2.144,2.729
43.176,64.846,2.816,4.301
61.447,62.47,4.008,4.143
47.902,58.299,3.124,3.867
47.573,48.533,3.103,3.219
50.652,48.795,3.304,3.236
26.841,82.724,1.751,5.487
26.952,77.944,1.758,5.17
32.562,75.401,2.124,5.001
27.109,68.916,1.768,4.571
20.78,72.843,1.355,4.831
34.649,74.717,2.26,4.956
27.335,70.615,1.783,4.683
38.635,76.127,2.52,5.049
27.363,80.603,1.785,5.346
22.252,70.197,1.451,4.656
23.562,68.231,1.537,4.525
28.683,83.836,1.871,5.56
33.841,83.974,2.207,5.569
28.223,70.711,1.841,4.69
38.086,72.224,2.484,4.79
29.886,79.617,1.949,5.281
28.409,74.817,1.853,4.962
31.721,81.285,2.069,5.391
25.211,79.839,1.644,5.295
28.677,82.545,1.87,5.475
32.249,72.412,2.103,4.803
26.388,74.604,1.721,4.948
28.699,68.843,1.872,4.566
26.075,73.289,1.701,4.861
34.287,80.516,2.236,5.34
24.027,82.64,1.567,5.481
30.832,66.388,2.011,4.403
32.376,73.357,2.112,4.865
22.762,72.538,1.485,4.811
35.251,73.72,2.299,4.889
70.182,78.162,4.577,5.184
79.59,75.993,5.191,5.04
65.727,67.237,4.287,4.459
68.483,82.506,4.467,5.472
76.414,77.726,4.984,5.155
79.269,73.681,5.17,4.887
64.842,83.34,4.229,5.527
71.118,84.679,4.639,5.616
78.34,71.781,5.11,4.761
63.618,68.166,4.149,4.521
67.54,83.879,4.405,5.563
69.151,74.224,4.51,4.923
67.792,78.153,4.422,5.183
76.871,74.212,5.014,4.922
62.004,75.131,4.044,4.983
67.491,77.72,4.402,5.155
71.907,71.083,4.69,4.714
65.276,74.663,4.257,4.952
77.585,80.356,5.06,5.33
79.661,73.34,5.196,4.864
77.325,70.126,5.043,4.651
68.579,77.468,4.473,5.138
65.976,77.652,4.303,5.15
71.556,76.709,4.667,5.088
69.837,73.944,4.555,4.904
70.494,71.199,4.598,4.722
72.627,76.434,4.737,5.069
67.67,70.629,4.414,4.684
63.446,78.574,4.138,5.211
75.458,68.449,4.922,4.54
26.841,82.724,1.751,5.487
26.952,77.944,1.758,5.17
32.562,75.401,2.124,5.001
27.109,68.916,1.768,4.571
20.78,72.843,1.355,4.831
34.649,74.717,2.26,4.956
27.335,70.615,1.783,4.683
38.635,76.127,2.52,5.049
27.363,80.603,1.785,5.346
22.252,70.197,1.451,4.656
23.562,68.231,1.537,4.525
28.683,83.836,1.871,5.56
33.841,83.974,2.207,5.569
28.223,70.711,1.841,4.69
38.086,72.224,2.484,4.79
29.886,79.617,1.949,5.281
28.409,74.817,1.853,4.962
31.721,81.285,2.069,5.391
25.211,79.839,1.644,5.295
28.677,82.545,1.87,5.475
32.249,72.412,2.103,4.803
26.388,74.604,1.721,4.948
28.699,68.843,1.872,4.566
26.075,73.289,1.701,4.861
34.287,80.516,2.236,5.34
24.027,82.64,1.567,5.481
30.832,66.388,2.011,4.403
32.376,73.357,2.112,4.865
22.762,72.538,1.485,4.811
35.251,73.72,2.299,4.889
70.182,78.162,4.577,5.184
79.59,75.993,5.191,5.04
65.727,67.237,4.287,4.459
68.483,82.506,4.467,5.472
76.414,77.726,4.984,5.155
79.269,73.681,5.17,4.887
64.842,83.34,4.229,5.527
71.118,84.679,4.639,5.616
78.34,71.781,5.11,4.761
63.618,68.166,4.149,4.521
67.54,83.879,4.405,5.563
69.151,74.224,4.51,4.923
67.792,78.153,4.422,5.183
76.871,74.212,5.014,4.922
62.004,75.131,4.044,4.983
67.491,77.72,4.402,5.155
71.907,71.083,4.69,4.714
65.276,74.663,4.257,4.952
77.585,80.356,5.06,5.33
79.661,73.34,5.196,4.864
77.325,70.126,5.043,4.651
68.579,77.468,4.473,5.138
65.976,77.652,4.303,5.15
71.556,76.709,4.667,5.088
69.837,73.944,4.555,4.904
70.494,71.199,4.598,4.722
72.627,76.434,4.737,5.069
67.67,70.629,4.414,4.684
63.446,78.574,4.138,5.211
75.458,68.449,4.922,4.54
