Branch,Component,Gender,abdominalextensiondepthsitting,acromialheight,acromionradialelength,anklecircumference,axillaheight,balloffootcircumference,balloffootlength,biacromialbreadth,bicepscircumferenceflexed,bicristalbreadth,bideltoidbreadth,bimalleolarbreadth,bitragionchinarc,bitragionsubmandibulararc,bizygomaticbreadth,buttockcircumference,buttockdepth,buttockheight,buttockkneelength,buttockpopliteallength,calfcircumference,cervicaleheight,chestbreadth,chestcircumference,chestdepth,chestheight,crotchheight,crotchlengthomphalion,crotchlengthposterioromphalion,earbreadth,earlength,earprotrusion,elbowrestheight,eyeheightsitting,footbreadthhorizontal,footlength,forearmcenterofgriplength,forearmcircumferenceflexed,forearmforearmbreadth,forearmhandlength,functionalleglength,handbreadth,handcircumference,handlength,headbreadth,headcircumference,headlength,heelanklecircumference,heelbreadth,hipbreadth,hipbreadthsitting,iliocristaleheight,interpupillarybreadth,interscyei,interscyeii,kneeheightmidpatella,kneeheightsitting,lateralfemoralepicondyleheight,lateralmalleolusheight,lowerthighcircumference,mentonsellionlength,neckcircumference,neckcircumferencebase,overheadfingertipreachsitting,palmlength,poplitealheight,radialestylionlength,shouldercircumference,shoulderelbowlength,shoulderlength,sittingheight,sleevelengthspinewrist,sleeveoutseam,span,suprasternaleheight,tenthribheight,thighcircumference,thighclearance,thumbtipreach,tibialheight,tragiontopofhead,trochanterionheight,verticaltrunkcircumferenceusa,waistbacklength,waistbreadth,waistcircumference,waistdepth,waistfrontlengthsitting,waistheightomphalion,wristcircumference,wristheight,weight_kg,stature_m,BMI,BMI_class,Height_class
0,Combat Arms,Regular Army,Male,266,1467,337,222,1347,253,202,401,369,274,493,71,319,291,142,979,240,882,619,509,373,1535,291,1074,259,1292,877,607,351,36,71,19,247,802,101,273,349,299,575,477,1136,90,214,193,150,583,206,326,70,332,366,1071,685,422,441,502,560,500,77,391,118,400,436,1447,113,437,273,1151,368,145,928,883,600,1782,1449,1092,610,164,786,491,140,919,1700,501,329,933,240,440,1054,175,853,81.5,1.776,25.83876105835565,Overweight,Tall
1,Combat Support,Regular Army,Male,233,1395,326,220,1293,245,193,394,338,257,479,67,344,320,135,944,232,870,584,468,357,1471,269,1021,253,1244,851,615,376,33,62,18,232,781,98,263,348,289,523,476,1096,86,203,195,146,568,201,334,72,312,356,1046,620,441,447,490,540,488,73,371,131,380,420,1380,118,417,254,1119,353,141,884,868,564,1745,1387,1076,572,169,822,476,120,918,1627,432,316,870,225,371,1054,167,815,72.6,1.702,25.06210292446434,Overweight,Normal
2,Combat Support,Regular Army,Male,287,1430,341,230,1327,256,196,427,408,261,544,75,345,330,135,1054,258,901,623,506,412,1501,288,1120,267,1288,854,636,359,40,61,23,237,810,103,270,355,357,575,491,1115,93,220,203,148,573,202,356,70,349,393,1053,665,462,475,496,556,482,72,409,123,403,434,1447,121,431,268,1276,367,167,917,910,604,1867,1438,1105,685,198,807,477,125,918,1678,472,329,964,255,411,1041,180,831,92.9,1.735,30.86148045411888,Overweight,Normal
3,Combat Service Support,Regular Army,Male,234,1347,310,230,1239,262,199,401,359,262,518,73,328,309,143,991,242,821,560,437,395,1423,296,1114,262,1205,769,590,341,39,66,25,272,794,106,267,352,318,593,467,1034,91,217,194,158,576,199,341,68,338,367,986,640,458,461,460,511,452,76,393,106,407,446,1357,118,393,249,1155,330,148,903,848,550,1708,1346,1021,604,180,803,445,127,847,1625,461,315,857,205,399,968,176,793,79.4,1.655,28.988417411305118,Overweight,Normal
4,Combat Service Support,Regular Army,Male,250,1585,372,247,1478,267,224,435,356,263,524,80,340,310,138,1029,275,1080,706,567,425,1684,304,1048,232,1452,1014,682,382,32,56,19,188,814,111,305,399,324,605,550,1279,94,222,218,153,566,197,374,69,332,372,1251,675,481,505,612,666,585,85,458,135,398,430,1572,132,523,302,1231,400,180,919,995,641,2035,1596,1292,672,194,962,584,122,1090,1679,467,303,868,214,379,1245,188,954,94.6,1.914,25.823034146458642,Overweight,Tall
5,Combat Service Support,Regular Army,Male,263,1407,344,216,1293,228,184,404,340,262,502,67,343,319,144,973,243,871,599,490,386,1489,281,1066,266,1253,828,655,370,38,68,26,243,779,87,254,346,298,540,470,1126,85,203,190,155,576,198,325,70,320,355,1022,660,457,466,491,537,482,68,372,111,395,420,1445,115,419,263,1172,363,145,898,893,605,1817,1411,1080,607,171,859,473,132,898,1706,459,337,950,244,417,1020,171,802,80.2,1.72,27.109248242293134,Overweight,Normal
6,Combat Service Support,Regular Army,Male,314,1476,343,257,1378,280,207,453,452,271,560,80,370,342,158,1139,291,919,645,494,467,1571,278,1208,289,1372,874,692,378,40,69,22,284,841,113,285,392,376,640,536,1202,93,227,220,158,612,211,360,74,368,409,1098,700,488,502,511,574,505,73,473,123,461,497,1572,134,435,296,1331,372,164,957,960,613,1965,1506,1176,754,225,883,503,139,945,1779,515,355,1073,274,454,1082,195,861,116.2,1.81,35.46900277769299,Overweight,Tall
7,Combat Service Support,Regular Army,Male,304,1529,360,254,1402,247,206,425,332,282,513,78,326,304,145,1068,260,950,652,530,404,1612,285,1087,271,1359,934,650,358,32,64,22,254,829,99,281,364,287,566,499,1169,88,210,198,156,551,185,354,72,373,415,1125,620,445,476,511,579,515,77,440,109,412,455,1576,124,445,281,1188,384,144,952,928,643,1939,1531,1199,644,183,887,509,131,959,1705,500,352,1010,267,429,1110,185,883,95.4,1.85,27.87436084733382,Overweight,Tall
8,Combat Service Support,Regular Army,Male,321,1457,339,230,1345,257,198,415,379,279,549,74,325,324,145,1061,270,926,629,501,412,1536,335,1181,281,1312,875,630,334,37,74,29,262,806,104,266,358,344,673,475,1154,93,226,197,160,578,198,351,75,353,383,1058,675,500,498,496,558,495,82,421,121,435,463,1483,122,427,256,1212,363,143,922,914,585,1812,1471,1124,635,188,787,482,128,926,1729,510,350,1065,300,460,1033,191,881,99.5,1.777,31.509987082488713,Overweight,Tall
9,Combat Support,Regular Army,Male,227,1481,345,233,1372,264,204,406,325,271,477,63,322,295,138,916,210,944,611,505,368,1564,280,964,215,1340,909,566,356,38,72,25,215,820,108,278,362,287,520,508,1143,88,208,200,146,549,190,342,72,330,356,1106,600,437,459,535,585,517,72,361,111,372,428,1509,119,459,289,1094,379,147,932,911,633,1918,1470,1152,525,167,833,504,116,975,1567,461,299,824,212,390,1091,179,880,70.2,1.811,21.40425969160182,Normal,Tall
