SurveyDate,FormalEducation,ConvertedSalary,Hobby,Country,StackOverflowJobsRecommend,VersionControl,Age,Years Experience,Gender,RawSalary,Paid_Job,equal_binned,boundary_binned
2/28/18 20:20,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,South Africa,7.0,Git,21,13,Male,,0,"(-2000.0, 400000.0]",Very low
6/28/18 13:26,Bachelor's degree (BA. BS. B.Eng.. etc.),70841.0,Yes,Sweeden,7.0,Git;Subversion,38,9,Male,70841.0,1,"(-2000.0, 400000.0]",Medium
6/6/18 3:37,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,No,Sweeden,8.0,Git,45,11,Not Given,,0,"(-2000.0, 400000.0]",Very low
5/9/18 1:06,Some college/university study without earning a degree,21426.0,Yes,Sweeden,7.0,Zip file back-ups,46,12,Male,21426.0,1,"(-2000.0, 400000.0]",Low
4/12/18 22:41,Bachelor's degree (BA. BS. B.Eng.. etc.),41671.0,Yes,UK,8.0,Git,39,7,Male,41671.0,1,"(-2000.0, 400000.0]",Low
2/9/18 19:09,Some college/university study without earning a degree,120000.0,Yes,Russia,7.0,Git,39,2,Male,120000.0,1,"(-2000.0, 400000.0]",High
5/25/18 6:11,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,UK,7.0,Git,34,11,Male,,0,"(-2000.0, 400000.0]",Very low
10/16/18 23:36,Some college/university study without earning a degree,250000.0,Yes,France,7.0,Git,24,2,Female,250000.0,1,"(-2000.0, 400000.0]",Very high
10/7/18 22:14,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,No,South Africa,10.0,Git,23,17,Male,,0,"(-2000.0, 400000.0]",Very low
2/24/18 21:36,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),0.0,No,France,7.0,Copying and pasting files to network shares,36,2,Not Given,0.0,0,"(-2000.0, 400000.0]",Very low
5/25/18 22:10,Master's degree (MA. MS. M.Eng.. MBA. etc.),47904.0,Yes,Spain,6.0,Git,26,0,Not Given,47904.0,1,"(-2000.0, 400000.0]",Low
8/3/18 18:31,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,USA,10.0,Git,42,0,Not Given,,0,"(-2000.0, 400000.0]",Very low
10/20/18 17:35,Bachelor's degree (BA. BS. B.Eng.. etc.),95968.0,Yes,India,6.0,Git,18,16,Not Given,95968.0,1,"(-2000.0, 400000.0]",Medium
7/23/18 10:20,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,USA,7.0,Git;Subversion,31,14,Not Given,,0,"(-2000.0, 400000.0]",Very low
7/2/18 18:25,Bachelor's degree (BA. BS. B.Eng.. etc.),420.0,No,Other,7.0,Copying and pasting files to network shares,21,8,Male,420.0,1,"(-2000.0, 400000.0]",Very low
10/9/18 23:49,Some college/university study without earning a degree,75000.0,Yes,UK,5.0,Git,22,8,Not Given,75000.0,1,"(-2000.0, 400000.0]",Medium
8/29/18 1:49,Master's degree (MA. MS. M.Eng.. MBA. etc.),10958.0,Yes,UK,10.0,Git,41,10,Not Given,10958.0,1,"(-2000.0, 400000.0]",Low
8/21/18 10:48,Master's degree (MA. MS. M.Eng.. MBA. etc.),51408.0,Yes,USA,9.0,Git;Subversion,55,1,Male,51408.0,1,"(-2000.0, 400000.0]",Medium
4/17/18 21:23,Master's degree (MA. MS. M.Eng.. MBA. etc.),72611.0,Yes,USA,5.0,Git,31,10,Female,72611.0,1,"(-2000.0, 400000.0]",Medium
