iter	RMSE
0	7.731721256
1	7.394707974
2	7.107854971
3	6.876764129
4	6.670154328
5	6.496140184
6	6.352011322
7	6.227062694
8	6.129523057
9	6.042333672
10	5.973872112
11	5.914071778
12	5.864492055
13	5.822374775
14	5.792494493
15	5.764502721
16	5.738909096
17	5.720604223
18	5.70614985
19	5.694107388
20	5.683084966
21	5.674800935
22	5.666129618
23	5.659203408
24	5.653903068
25	5.648885863
26	5.64418821
27	5.640831303
28	5.639046996
29	5.636550402
30	5.634818703
31	5.631185314
32	5.629985304
33	5.628900328
34	5.626839982
35	5.626135646
36	5.625464065
37	5.624276174
38	5.622533363
39	5.621732334
40	5.621351704
41	5.619984013
42	5.619681936
43	5.619095511
44	5.618831166
45	5.618286129
46	5.618185032
47	5.617586683
48	5.617413435
49	5.616645359
50	5.616280452
51	5.616018979
52	5.615367421
53	5.615035086
54	5.614584091
55	5.61384699
56	5.613209248
57	5.612470664
58	5.612020503
59	5.611212942
60	5.610520805
61	5.609914245
62	5.609229705
63	5.608836569
64	5.608560453
65	5.60849455
66	5.608212919
67	5.607904953
68	5.607829891
69	5.607209908
70	5.60695648
71	5.606903456
72	5.606879009
73	5.60654823
74	5.60652112
75	5.606126747
76	5.605502455
77	5.605398884
78	5.604971906
79	5.604622477
80	5.604221657
81	5.603971148
82	5.602688971
83	5.602038143
84	5.601726563
85	5.601257339
86	5.600026269
87	5.599819571
88	5.599483672
89	5.599449532
90	5.599300387
91	5.598562561
92	5.597649822
93	5.596672568
94	5.595782625
95	5.595484307
96	5.595225272
97	5.594996681
98	5.593896182
99	5.592924119
