iter	Passed	Remaining
0	121	12023
1	122	5982
2	122	3967
3	123	2959
4	123	2354
5	124	1952
6	125	1664
7	125	1447
8	126	1278
9	127	1143
10	127	1033
11	128	941
12	129	863
13	129	796
14	130	738
15	131	687
16	131	643
17	132	603
18	133	568
19	134	536
20	134	506
21	135	480
22	136	455
23	136	433
24	137	412
25	138	392
26	138	375
27	139	358
28	140	342
29	140	328
30	141	314
31	142	302
32	142	290
33	143	278
34	144	268
35	145	258
36	145	248
37	146	239
38	147	230
39	148	222
40	148	214
41	149	206
42	150	199
43	151	192
44	151	185
45	152	179
46	153	172
47	153	166
48	154	160
49	155	155
50	155	149
51	156	144
52	157	139
53	157	134
54	158	129
55	159	125
56	159	120
57	160	116
58	161	112
59	161	107
60	162	103
61	163	100
62	163	96
63	164	92
64	164	88
65	165	85
66	166	81
67	166	78
68	167	75
69	167	71
70	168	68
71	169	65
72	169	62
73	170	59
74	170	56
75	171	54
76	172	51
77	172	48
78	173	46
79	174	43
80	174	40
81	175	38
82	176	36
83	176	33
84	177	31
85	177	28
86	178	26
87	179	24
88	179	22
89	180	20
90	181	17
91	181	15
92	182	13
93	183	11
94	183	9
95	184	7
96	185	5
97	185	3
98	186	1
99	187	0
