,bag,box,candle,sign
0,True,False,False,True
1,True,False,False,False
2,False,True,False,False
3,True,False,True,True
4,False,True,False,False
5,True,False,False,False
6,True,False,False,True
7,False,False,False,True
8,False,True,False,False
9,True,False,False,False
10,True,False,False,False
11,True,False,False,False
12,True,False,False,True
13,False,False,False,True
14,False,True,False,False
15,False,False,True,True
16,False,False,False,True
17,True,False,False,False
18,True,False,False,False
19,False,False,True,False
20,True,False,False,False
21,True,False,False,False
22,False,False,False,True
23,True,False,False,True
24,False,True,False,True
25,True,True,False,False
26,True,False,False,False
27,True,False,True,False
28,True,False,False,False
29,False,False,False,True
30,False,False,False,True
31,False,False,False,True
32,True,False,False,True
33,True,False,False,False
34,False,True,False,False
35,False,False,False,True
36,False,False,True,False
37,False,True,False,True
38,True,False,False,False
39,True,False,False,True
40,True,False,False,True
41,False,True,False,False
42,True,False,False,False
43,True,False,False,True
44,True,True,False,False
45,True,False,False,True
46,False,False,False,True
47,False,False,False,True
48,True,False,False,False
49,False,False,True,False
50,False,False,False,True
51,True,False,False,False
52,True,False,False,False
53,False,False,True,False
54,False,False,True,False
55,True,True,False,False
56,False,False,True,False
57,False,False,False,True
58,False,False,False,True
59,True,False,False,True
60,True,False,False,False
61,False,False,False,True
62,True,False,False,False
63,False,True,False,False
64,False,False,False,True
65,True,False,False,False
66,False,True,False,False
67,False,True,False,True
68,False,False,False,True
69,True,False,False,True
70,True,False,False,True
71,True,False,False,False
72,True,False,True,True
73,False,True,False,False
74,True,False,False,False
75,True,False,False,False
76,True,False,False,False
77,False,True,False,False
78,True,False,False,False
79,True,False,False,False
80,False,False,False,True
81,False,False,False,True
82,True,False,False,False
83,True,True,False,False
84,True,False,False,False
85,False,True,False,False
86,False,False,False,True
87,True,False,False,False
88,True,True,False,False
89,True,False,False,False
90,True,False,False,False
91,False,True,False,False
92,False,True,False,True
93,False,False,False,True
94,True,True,False,False
95,False,True,False,False
96,True,False,False,True
97,False,False,False,True
98,False,False,False,True
99,False,True,False,True
100,False,False,False,True
101,False,True,False,False
102,False,True,False,False
103,True,False,False,False
104,False,True,False,False
105,False,True,False,False
106,False,True,True,False
107,True,False,False,False
108,False,False,False,True
109,False,False,True,False
110,False,True,False,False
111,True,False,False,False
112,True,False,False,False
113,True,False,False,False
114,True,False,False,False
115,True,False,False,False
116,True,False,False,False
117,True,False,False,False
118,False,False,False,True
119,True,False,False,False
120,False,False,False,True
121,False,False,False,True
122,True,False,False,False
123,True,False,False,False
124,False,True,False,True
125,False,True,False,True
126,False,False,False,True
127,True,False,False,False
128,False,True,False,False
129,True,False,False,False
130,True,False,False,True
131,False,True,False,False
132,True,False,False,False
133,True,False,False,False
134,True,False,False,False
135,False,False,True,False
136,True,False,False,False
137,True,False,False,True
138,True,False,True,False
139,False,False,False,True
140,True,False,False,False
141,True,False,False,False
142,True,False,False,False
143,False,True,False,False
144,True,False,False,False
145,True,False,False,False
146,False,False,False,True
147,False,True,False,False
148,False,True,True,False
149,False,False,False,True
150,False,False,False,True
151,False,False,False,True
152,True,False,False,True
153,True,False,False,False
154,False,True,False,False
155,True,False,False,False
156,True,False,False,False
157,True,False,False,False
158,False,False,False,True
159,True,False,False,False
160,False,False,False,True
161,True,False,False,True
162,True,False,False,False
163,False,True,True,False
164,True,False,False,False
165,False,True,False,False
166,True,False,False,False
167,True,False,False,True
168,False,True,False,False
169,True,False,False,False
170,False,True,False,False
171,True,False,False,False
172,True,True,False,False
173,False,True,False,False
174,False,False,False,True
175,False,False,False,True
176,False,True,False,False
177,True,False,False,False
178,False,True,False,False
179,False,False,False,True
180,False,False,False,True
181,True,False,False,False
182,False,True,False,False
183,False,True,False,False
184,True,False,False,False
185,False,True,False,False
186,False,True,False,False
187,False,True,False,False
188,True,False,False,False
189,False,False,True,False
190,True,False,False,False
191,False,True,False,False
192,False,True,False,False
193,False,True,False,False
194,False,False,True,False
195,False,True,True,False
196,False,True,False,False
197,True,False,False,False
198,False,True,False,False
199,False,False,False,True
200,True,False,False,False
201,False,False,True,False
202,False,False,False,True
203,True,False,False,False
204,True,False,False,True
205,False,False,False,True
206,False,False,False,True
207,True,False,False,False
208,True,False,False,True
209,False,True,False,False
210,False,False,False,True
211,False,False,False,True
212,False,False,False,True
213,False,False,True,False
214,False,True,False,False
215,False,False,False,True
216,False,False,False,True
217,False,True,False,False
218,False,False,False,True
219,False,False,False,True
220,False,False,False,True
221,True,False,False,False
222,False,False,False,True
223,False,True,False,False
224,False,True,False,False
225,False,False,False,True
226,False,False,False,True
227,False,False,False,True
228,True,False,False,False
229,True,False,False,True
230,False,False,False,True
231,True,False,False,False
232,False,True,False,False
233,True,False,False,False
234,False,False,False,True
235,False,False,False,True
236,False,True,False,False
237,True,False,False,False
238,True,False,False,False
239,True,False,False,False
240,False,False,True,False
241,True,False,False,False
242,False,False,False,True
243,False,False,True,False
244,False,False,False,True
245,True,False,False,False
246,False,False,False,True
247,False,False,False,True
248,True,False,False,False
249,True,False,False,False
250,True,False,False,False
251,False,False,False,True
252,False,True,False,False
253,True,False,False,False
254,False,False,False,True
255,True,False,False,False
256,True,False,False,False
257,True,True,False,False
258,False,False,False,True
259,True,False,False,False
260,True,False,False,False
261,False,False,False,True
262,False,True,False,False
263,False,False,False,True
264,True,False,False,False
265,False,True,False,False
266,True,False,False,False
267,True,False,False,True
268,False,True,False,False
269,True,False,False,False
270,True,False,False,True
271,True,False,False,False
272,True,False,False,False
273,False,False,False,True
274,True,False,False,False
275,True,False,False,False
276,False,False,True,False
277,True,False,False,False
278,True,False,False,False
279,True,False,False,True
280,True,False,False,False
281,True,False,False,True
282,False,True,True,False
283,False,True,False,False
284,True,False,False,False
285,False,False,False,True
286,False,False,False,True
287,True,False,False,True
288,True,False,False,False
289,False,False,False,True
290,False,False,False,True
291,True,False,False,True
292,False,False,True,False
293,False,True,False,False
294,True,False,False,False
295,False,True,False,False
296,False,True,False,False
297,True,False,False,False
298,False,True,False,False
299,False,False,False,True
300,True,False,False,True
301,False,False,False,True
302,False,False,False,True
303,True,False,False,False
304,False,True,False,False
305,False,False,False,True
306,False,False,False,True
307,False,False,False,True
308,False,True,False,False
309,False,False,True,False
310,False,False,True,False
311,True,False,False,False
312,False,True,False,False
313,True,False,False,False
314,True,False,False,False
315,True,False,False,True
316,True,False,False,False
317,False,True,False,False
318,True,False,False,False
319,False,True,False,False
320,False,False,False,True
321,False,True,False,False
322,False,True,False,False
323,False,True,True,False
324,True,False,False,False
325,False,True,False,False
326,True,False,False,False
327,False,False,False,True
328,False,True,False,False
329,False,False,True,False
330,False,False,False,True
331,True,False,False,False
332,False,False,False,True
333,True,False,False,False
334,True,False,False,False
335,False,True,False,False
336,False,False,True,False
337,False,False,True,False
338,False,True,False,False
339,False,True,False,False
340,True,False,False,False
341,True,False,False,True
342,True,False,False,False
343,False,True,False,False
344,True,False,False,False
345,True,False,False,False
346,False,False,True,False
347,False,True,False,False
348,True,False,False,True
349,False,True,False,False
350,False,True,False,False
351,False,True,False,False
352,True,False,False,False
353,True,False,False,False
354,True,False,False,False
355,True,False,False,False
356,True,False,False,True
357,False,True,False,False
358,False,True,False,False
359,False,False,False,True
360,True,False,False,True
361,False,False,False,True
362,True,False,False,False
363,True,False,False,False
364,False,False,False,True
365,True,False,False,False
366,False,False,False,True
367,False,False,False,True
368,True,False,False,True
369,True,False,False,False
370,False,False,False,True
