,Hunger,Potter,Twilight,Mockingbird,Gatsby
0,False,True,False,True,True
1,False,True,True,False,True
2,False,False,False,True,False
3,False,True,False,False,True
4,False,False,False,False,True
5,True,True,False,False,True
6,False,True,False,False,True
7,False,True,True,False,True
8,False,True,False,False,False
9,False,True,False,True,True
10,False,True,False,True,True
11,False,True,False,True,False
12,False,False,False,True,True
13,False,False,True,False,True
14,False,False,False,False,True
15,False,True,False,True,False
16,False,False,False,True,False
17,False,False,False,False,True
18,False,False,False,True,False
19,True,False,False,True,True
20,False,True,False,True,False
21,False,True,False,False,False
22,False,True,False,False,False
23,False,False,False,True,True
24,False,False,False,True,False
25,False,True,False,False,False
26,False,True,False,False,True
27,False,False,False,True,True
28,False,False,False,False,True
29,False,False,False,True,False
30,False,True,False,True,True
31,False,True,False,True,False
32,False,False,False,False,True
33,False,False,False,True,False
34,False,True,True,True,True
35,False,True,False,True,True
36,True,True,True,False,False
37,False,True,False,True,True
38,False,False,True,True,True
39,False,True,False,False,False
40,False,False,False,True,True
41,False,False,False,True,False
42,False,True,False,False,False
43,False,False,False,False,True
44,False,False,False,True,False
45,False,False,False,False,True
46,False,False,False,True,True
47,False,True,False,False,False
48,False,False,False,True,False
49,False,False,False,True,True
50,True,True,False,True,False
51,False,True,False,False,True
52,False,True,False,True,False
53,False,True,False,True,False
54,False,False,False,True,True
55,False,True,False,True,True
56,False,False,False,True,True
57,False,True,False,True,False
58,False,True,False,False,False
59,False,True,False,True,False
60,True,False,False,True,True
61,False,True,False,False,True
62,False,False,False,True,True
63,False,False,False,False,True
64,False,False,False,True,False
65,False,True,False,False,True
66,False,False,False,True,True
67,False,True,False,False,True
68,False,False,False,False,True
69,False,True,False,True,False
70,False,True,False,False,True
71,False,False,False,False,True
72,True,True,True,False,False
73,False,True,False,False,False
74,False,True,False,False,False
75,False,False,False,True,False
76,False,True,False,False,False
77,False,True,False,False,True
78,False,True,False,True,True
79,False,False,False,False,True
80,False,False,False,False,True
81,False,True,False,True,True
82,False,False,False,True,True
83,True,False,False,True,True
84,False,True,True,False,True
85,True,True,False,True,False
86,False,False,True,True,True
87,False,True,False,True,True
88,False,False,False,True,True
89,True,False,False,True,True
90,False,False,False,True,False
91,False,False,False,True,True
92,False,True,True,True,True
93,False,True,False,False,False
94,False,True,False,True,False
95,False,False,False,True,True
96,False,False,False,False,True
97,False,False,False,False,True
98,False,False,False,True,True
99,False,False,False,False,True
100,False,True,False,True,False
101,False,True,False,True,False
102,False,True,False,False,False
103,False,False,False,True,False
104,True,True,False,True,True
105,False,True,False,True,False
106,False,False,False,True,True
107,False,False,False,True,True
108,False,False,True,True,False
109,False,True,False,False,False
110,False,False,False,True,True
111,False,True,False,False,False
112,False,True,False,True,False
113,False,False,False,True,False
114,False,True,False,True,False
115,False,True,False,True,True
116,False,True,False,False,True
117,False,True,False,True,False
118,False,False,False,True,True
119,False,False,False,True,False
120,False,True,False,False,False
121,False,False,False,True,True
122,False,False,False,False,True
123,False,True,False,True,True
124,False,True,False,True,True
125,False,True,False,True,False
126,False,True,False,True,True
127,False,False,False,True,False
128,False,True,False,True,True
129,False,False,False,True,False
130,False,False,False,False,True
131,False,False,False,False,True
132,False,False,False,True,False
133,False,True,False,True,True
134,True,False,False,True,False
135,False,True,False,False,False
136,False,False,False,False,True
137,False,True,False,True,True
138,False,False,False,True,True
139,True,False,True,False,False
140,False,True,False,False,True
141,False,True,False,True,False
142,False,True,False,False,True
143,False,False,False,True,True
144,False,False,False,True,True
145,False,False,False,False,True
146,False,True,False,True,True
147,False,False,False,False,True
148,False,False,False,True,False
149,False,True,False,True,False
150,False,False,False,True,True
151,False,True,False,False,False
152,False,False,False,True,True
153,False,True,False,True,True
154,False,False,False,True,True
155,False,True,False,False,False
156,False,True,False,False,False
157,False,True,False,True,True
158,False,False,False,True,False
159,False,True,False,False,False
160,False,False,False,False,True
161,False,True,False,True,False
162,False,True,False,True,True
163,False,True,False,True,True
164,False,True,False,False,False
165,False,False,False,True,True
166,False,False,False,True,True
167,False,False,False,True,True
168,True,False,False,False,True
169,True,False,False,True,False
170,True,True,True,True,True
171,False,True,False,True,True
172,False,True,False,True,True
173,False,False,False,True,False
174,False,False,False,True,False
175,False,False,False,False,True
176,False,True,False,True,False
177,False,True,False,True,False
178,False,True,False,True,True
179,False,False,False,False,True
180,False,False,False,True,True
181,True,True,True,True,True
182,False,True,False,True,True
183,False,False,False,True,True
184,False,False,False,False,True
185,False,False,False,True,True
186,False,False,False,True,True
187,False,False,False,True,False
188,False,False,False,True,True
189,False,False,False,True,True
190,False,True,True,True,True
191,False,True,False,True,True
192,False,False,False,False,True
193,False,True,False,False,False
194,False,False,False,True,False
195,False,True,False,True,False
196,False,False,False,False,True
197,False,False,False,True,True
198,False,True,False,True,False
199,False,True,False,True,False
200,True,True,True,True,True
201,False,True,False,True,False
202,True,True,False,True,True
203,True,False,False,True,True
204,False,False,True,True,False
205,False,True,False,True,False
206,False,True,False,False,True
207,False,False,False,True,True
208,False,True,False,False,True
209,False,False,False,True,False
210,True,True,False,True,True
211,False,True,False,False,False
212,False,True,True,True,True
213,False,False,False,False,True
214,False,True,False,False,False
215,False,False,False,False,True
216,False,False,False,True,True
217,False,True,False,True,False
218,False,False,True,True,False
219,True,True,True,True,True
220,False,False,False,True,True
221,True,False,True,True,True
222,False,True,False,False,True
223,False,False,False,True,True
224,False,False,False,True,False
225,True,True,False,True,True
226,False,False,False,True,True
227,True,True,False,True,True
228,True,False,False,True,False
229,False,False,False,True,False
230,False,True,False,False,True
231,False,True,False,True,False
232,False,False,False,True,False
233,False,True,False,True,True
234,False,True,False,True,False
235,True,True,False,True,False
236,False,True,False,True,True
237,False,True,False,True,False
238,False,True,False,False,False
239,False,False,False,True,True
240,False,True,False,False,False
241,True,True,False,True,True
242,False,True,False,False,False
243,False,True,False,True,True
244,False,True,False,True,False
245,False,True,False,True,True
246,False,True,False,True,False
247,False,False,False,False,True
248,False,False,False,True,False
249,False,True,True,False,False
250,False,False,True,True,False
251,False,True,False,True,True
252,False,False,False,True,False
253,False,True,False,False,True
254,True,False,False,True,False
255,True,True,False,True,True
256,False,True,False,True,True
257,False,False,True,True,True
258,False,True,True,False,True
259,False,True,True,True,True
260,False,True,False,False,False
261,True,True,False,True,True
262,False,False,False,True,True
263,False,True,False,True,True
264,False,True,True,True,True
265,False,False,True,False,False
266,False,False,False,False,True
267,False,False,False,True,True
268,False,False,False,False,True
269,False,False,True,True,False
270,False,True,False,True,False
271,False,False,False,True,False
272,False,False,False,True,False
273,False,False,False,True,False
274,False,True,False,True,True
275,False,False,False,False,True
276,True,False,False,False,True
277,False,False,False,False,True
278,False,True,True,False,False
279,False,False,False,True,True
280,False,False,False,False,True
281,False,True,False,False,False
282,False,True,False,False,False
283,False,True,False,False,False
284,False,True,False,False,False
285,True,False,True,True,True
286,False,False,False,True,True
287,False,False,True,False,False
288,False,True,False,False,False
289,False,True,False,True,False
290,False,True,False,True,True
291,False,False,True,False,True
292,False,True,False,False,False
293,False,True,True,True,True
294,False,True,True,True,True
295,False,True,True,False,False
296,False,True,False,False,False
297,False,False,False,True,True
298,False,False,False,True,True
299,False,True,False,True,True
300,False,False,False,True,True
301,False,False,True,True,True
302,False,False,True,True,False
303,False,False,False,True,True
304,False,True,False,False,True
305,False,True,False,False,True
306,False,False,False,True,False
307,False,True,False,True,True
308,False,True,False,False,False
309,False,False,False,True,False
310,False,False,False,True,True
311,True,True,True,True,True
312,False,True,False,True,True
313,False,True,True,False,False
314,False,False,False,False,True
315,False,False,False,True,True
316,False,True,True,False,True
317,False,True,False,True,True
318,False,False,False,True,True
319,False,True,False,False,False
320,False,False,False,False,True
