date,momentum,value,portfolio
2016-01-04,-1.69,-1.53,-1.6517447399633725
2016-01-05,0.38,0.1,0.4081607217205095
2016-01-06,1.27,-1.22,0.3255554719235171
2016-01-07,0.21,-2.38,-0.6982589673231918
2016-01-08,-0.2,-0.91,-0.9593523455835962
2016-01-11,1.24,0.28,0.6047433828972054
2016-01-12,0.94,0.77,0.5860249443326742
2016-01-13,-0.52,-2.83,-2.9157515529329814
2016-01-14,-0.36,1.37,0.7753928146975552
2016-01-15,0.24,-2.02,-1.905815635360236
2016-01-19,0.96,0.0,0.6815879035323809
2016-01-20,0.49,-0.87,-0.2880880576078971
2016-01-21,-1.84,0.76,-0.0056242584290351
2016-01-22,-0.41,2.0,2.0659307725821923
2016-01-25,1.35,-1.29,-0.5401360741143301
2016-01-26,-1.72,1.38,0.7228865383801685
2016-01-27,-0.55,-1.55,-1.7361717529652516
2016-01-28,0.05,0.56,2.0827257964318737
2016-01-29,-0.84,2.06,1.6868966756194137
2016-02-01,0.55,0.26,1.0343474701813506
2016-02-02,1.2,-1.84,-1.0687856284757442
2016-02-03,-2.65,0.67,-0.9238536769792728
2016-02-04,-2.15,0.37,-1.4018700765043246
2016-02-05,-0.76,-1.96,-2.4773990150002647
2016-02-08,0.39,-1.24,-2.1176144504867973
2016-02-09,1.56,0.08,0.3572564969598177
2016-02-10,0.8,-0.14,0.4240873948879505
2016-02-11,0.42,-1.03,-0.1470524956167307
2016-02-12,-1.16,1.85,1.5418267597967514
2016-02-16,-0.91,1.85,1.2715243686625224
2016-02-17,-1.82,1.7,1.463904429059243
2016-02-18,0.08,-0.45,-0.6512945364494467
2016-02-19,1.1,-0.09,0.2347361112814934
2016-02-22,-1.12,1.41,1.5230660195978671
2016-02-23,1.07,-0.91,-0.3804844009129514
2016-02-24,-0.08,0.62,0.8688766022874853
2016-02-25,0.36,1.06,1.46901320670356
2016-02-26,-1.61,-0.22,-0.5218079341482103
2016-02-29,-0.44,-0.64,-0.8612103877247408
2016-03-01,-0.56,2.3,2.229444120257085
2016-03-02,-1.33,0.03,-0.1261006042228041
2016-03-03,-1.62,0.38,0.3005752727288489
2016-03-04,-0.9,0.4,0.1372841608356136
2016-03-07,-1.5,0.16,-0.9229925919669848
2016-03-08,2.86,-0.97,-0.5628167150540089
2016-03-09,-0.2,0.39,0.3460961084161441
2016-03-10,0.38,-0.01,0.4363237395944415
2016-03-11,-1.72,1.52,2.136234391842267
2016-03-14,0.1,-0.04,-0.2720043758701541
2016-03-15,1.41,-0.2,-0.1398979156158964
2016-03-16,-0.78,0.79,1.0866728755784774
2016-03-17,-1.02,0.62,-0.0683488166677499
2016-03-18,-0.7,0.3,0.4347598000338414
2016-03-21,-0.13,0.2,0.1691460991532682
2016-03-22,0.1,-0.08,0.2319458277116259
2016-03-23,2.15,-0.7,0.0538419135213686
2016-03-24,-0.03,0.03,-0.3638790621252299
2016-03-28,0.43,0.07,0.2087056789528053
2016-03-29,0.19,1.08,0.9075372258737268
2016-03-30,-0.19,0.59,0.0251389371605118
2016-03-31,-0.55,-0.19,-0.424867184023627
2016-04-01,0.89,0.57,1.41899897145042
2016-04-04,0.23,-0.32,-0.7219810891337951
2016-04-05,0.1,-0.66,-0.3600521037934814
2016-04-06,-0.88,1.0,1.2394077430995936
2016-04-07,0.67,-1.19,-0.6089883197018344
2016-04-08,-0.63,0.33,-0.0402637082126809
2016-04-11,-0.26,-0.31,-0.8643344582329627
2016-04-12,-1.24,0.96,0.7486019094394122
2016-04-13,-1.29,0.88,-0.0961179066791635
2016-04-14,-0.08,-0.1,-0.2079695364773274
2016-04-15,0.72,-0.05,0.065502576676616
2016-04-18,-0.07,0.4,0.4924124453425672
2016-04-19,-0.92,-0.04,-0.7260017998325812
2016-04-20,-1.14,0.05,-0.4417057815676805
2016-04-21,-0.75,-0.61,-0.441697666661771
2016-04-22,-1.18,0.11,-0.2241014568491339
2016-04-25,1.2,-0.16,0.6855622922022141
2016-04-26,-0.7,0.16,0.2396123033778918
2016-04-27,0.0,-0.18,-0.0488293674281501
2016-04-28,0.51,-1.06,0.3204852418838664
2016-04-29,0.87,-0.47,0.2747608211422981
2016-05-02,0.98,0.86,1.0610314702897383
2016-05-03,1.33,-0.79,-0.4400069355756968
2016-05-04,1.22,-0.71,-0.0487968481017124
2016-05-05,0.28,-0.19,-0.3481903791197588
2016-05-06,0.57,0.45,0.6786620648171353
2016-05-09,0.9,0.22,0.4128181737097757
2016-05-10,-0.62,1.19,1.074781095785123
2016-05-11,0.42,-1.09,-1.3132546776027556
2016-05-12,1.13,-0.11,-0.0654812346304212
2016-05-13,0.37,-0.87,-0.477478453066566
2016-05-16,-0.76,1.06,0.3421622730148655
2016-05-17,-1.39,-0.94,-1.3367291081979675
2016-05-18,-0.28,-0.38,0.8237968440921868
2016-05-19,0.37,-0.17,-0.1011299046152434
2016-05-20,-0.85,0.59,0.3403979963416166
2016-05-23,-0.32,-0.05,-0.5229263011285481
2016-05-24,-0.22,1.33,1.3683793562937656
2016-05-25,-1.36,0.69,0.4250194371590883
2016-05-26,0.53,0.16,0.1169901859087399
2016-05-27,-0.45,0.35,0.7830996914089992
2016-05-31,-0.35,-0.07,-0.5670987803600331
2016-06-01,0.07,0.1,0.661228434216836
2016-06-02,-0.41,0.38,0.2539897839979653
2016-06-03,1.11,-0.08,-0.3923546457062475
2016-06-06,-1.21,0.43,-0.0763605948099729
2016-06-07,-0.08,0.24,-0.2604611656799495
2016-06-08,0.58,0.23,0.1687076799347461
2016-06-09,1.18,-0.14,0.3021037720061137
