country_id,date,views
18,2021-06-24,4476
43,2022-05-16,4108
80,2021-06-17,2125
60,2022-01-27,14968
17,2021-11-29,7895
92,2021-12-27,17501
52,2022-10-15,19556
16,2021-03-26,4303
53,2021-08-26,18607
77,2021-01-16,13480
123,2021-11-26,15376
79,2022-05-08,21331
50,2022-07-13,15969
110,2022-05-31,7526
26,2021-09-10,16361
115,2021-02-28,2121
7,2022-01-04,24546
20,2021-07-17,18490
17,2021-03-04,15137
42,2022-04-25,2893
113,2022-01-09,18444
10,2021-06-17,20432
45,2021-04-17,14011
96,2021-02-12,3983
5,2021-10-26,5137
63,2022-10-14,20227
48,2022-03-28,9268
38,2021-07-06,11799
40,2021-05-18,6531
64,2022-02-07,23252
94,2021-09-18,7746
32,2022-04-09,10533
83,2022-02-26,6130
63,2022-07-21,6866
78,2022-09-11,3890
41,2021-03-05,8916
111,2021-09-09,3295
21,2022-04-16,20721
19,2022-05-10,13642
33,2021-04-28,24657
102,2022-06-09,3636
30,2022-10-09,7221
10,2022-01-02,18033
19,2021-09-20,18625
123,2022-07-03,9822
41,2021-12-17,20062
17,2021-03-15,21626
74,2021-05-25,5978
66,2022-02-08,4143
61,2022-04-19,3979
17,2021-06-07,6613
32,2021-05-12,4152
20,2021-06-11,9047
81,2022-05-23,8495
96,2021-09-06,20000
17,2021-03-12,3273
19,2022-03-24,15667
16,2021-02-03,23167
56,2022-03-13,18984
78,2022-09-25,24683
42,2022-07-26,20114
25,2021-02-08,19227
41,2021-03-07,2117
60,2021-05-02,6232
40,2022-02-07,11593
11,2021-01-20,10662
29,2021-09-26,13362
105,2022-06-28,16821
61,2021-12-20,5919
67,2022-09-25,6659
77,2022-05-30,6968
18,2021-11-01,6878
12,2022-01-20,16125
18,2021-06-05,16049
64,2021-11-15,23015
78,2022-07-25,2570
107,2021-11-01,10360
116,2022-06-24,2629
101,2021-08-31,20595
91,2022-02-27,15138
16,2021-10-02,24479
116,2022-10-03,1955
93,2022-02-13,16790
34,2021-09-14,22678
85,2021-08-28,10312
119,2022-10-22,2013
105,2022-03-15,11729
119,2022-06-23,4220
35,2021-04-12,15013
105,2021-12-20,3924
35,2022-07-01,23926
83,2022-10-05,10144
78,2021-09-03,11858
79,2021-03-08,13447
61,2022-02-24,17323
5,2021-09-29,22394
90,2022-01-03,17435
120,2021-10-08,10039
114,2022-01-10,11309
55,2021-11-07,20816
50,2022-03-24,20342
22,2021-08-20,2512
24,2021-03-02,21756
53,2021-07-29,2851
11,2021-05-03,9990
62,2021-04-26,10642
108,2022-07-17,18755
71,2022-09-23,4437
47,2021-11-02,16875
8,2022-05-21,20419
2,2021-11-11,19061
61,2022-05-19,13305
21,2022-10-01,17628
39,2021-03-11,13727
56,2021-12-30,9115
59,2022-04-07,5152
67,2021-06-18,1740
34,2021-08-13,5939
36,2022-08-11,24772
79,2022-06-29,24646
72,2022-03-11,2633
22,2022-08-08,15146
86,2021-11-13,24858
70,2022-08-19,2821
103,2022-02-07,22220
120,2021-09-03,4747
49,2021-06-21,21302
108,2021-03-07,3377
63,2022-07-03,20270
8,2022-05-24,21535
21,2022-10-03,14156
109,2021-08-24,21774
21,2021-06-23,14575
101,2021-04-16,10674
77,2022-04-25,11244
100,2022-03-18,6049
87,2021-09-14,16677
99,2021-02-16,22663
60,2021-02-14,10141
35,2021-12-28,17774
81,2021-10-16,9361
45,2022-03-09,24194
98,2022-10-15,3965
96,2021-06-16,8887
46,2021-01-18,9134
18,2022-08-11,14866
19,2022-02-26,8947
122,2021-08-10,3337
14,2022-06-17,14529
73,2021-08-30,7462
8,2022-03-16,8264
61,2021-08-13,24116
21,2022-08-22,17128
21,2022-02-12,21403
69,2021-12-13,17218
28,2021-05-26,1949
36,2021-11-19,4991
42,2021-11-24,5375
94,2021-02-26,16920
77,2022-08-19,24885
43,2022-01-06,19216
17,2022-09-25,20657
23,2022-09-05,5619
93,2021-12-18,8199
24,2021-12-20,4888
1,2021-11-28,19771
74,2021-12-05,23263
57,2021-04-03,3909
92,2022-03-31,19694
97,2021-06-26,6962
64,2021-12-24,2169
51,2021-07-23,6723
73,2022-09-01,9469
113,2021-11-01,9729
86,2021-09-24,1360
101,2022-07-14,14946
10,2021-03-23,6071
48,2021-10-31,13999
94,2022-01-21,23969
6,2022-07-15,6883
17,2021-03-07,22638
115,2021-08-08,19120
25,2021-12-01,17223
112,2021-11-13,16085
53,2022-06-24,18518
47,2021-11-21,9021
101,2021-02-06,11074
11,2021-06-05,3535
99,2021-01-28,11899
53,2022-04-23,9811
7,2021-01-30,7057
112,2022-02-05,21147
92,2021-04-02,11297
77,2022-05-30,19999
6,2022-03-03,10986
76,2021-06-01,12755
19,2021-12-06,16745
76,2021-02-07,18645
81,2022-01-18,2870
97,2022-08-12,5281
120,2022-05-07,10567
7,2022-03-26,9426
81,2021-07-07,1285
17,2022-02-04,2204
23,2021-03-09,8163
122,2021-04-18,8260
24,2021-11-20,10506
90,2021-01-24,1132
107,2022-06-15,22576
55,2022-05-20,23548
67,2022-07-18,7747
50,2022-06-24,5094
50,2022-03-16,5432
50,2022-05-02,7450
113,2022-07-29,12103
47,2021-10-21,2490
48,2021-05-11,2596
5,2021-10-11,18523
110,2022-03-01,18667
25,2021-06-30,18117
20,2021-02-23,12118
97,2021-04-02,20776
102,2021-12-04,23282
122,2022-07-12,12551
92,2022-08-07,4563
111,2021-03-04,12548
50,2022-05-20,23585
83,2021-10-06,5660
90,2022-03-22,14951
114,2022-02-03,19474
52,2022-06-20,23464
20,2022-01-12,21597
104,2021-01-30,24441
120,2021-11-07,23463
100,2021-11-24,18915
20,2021-09-22,2098
28,2022-01-25,16257
15,2022-07-26,7841
41,2022-01-02,19829
105,2021-04-07,5411
72,2022-07-16,15229
47,2021-11-25,2244
90,2022-10-04,16097
108,2022-07-27,21141
84,2022-06-23,18453
83,2022-02-02,16666
7,2021-09-13,4909
19,2022-09-10,24711
121,2021-08-20,15502
104,2021-11-23,10419
5,2021-07-07,18574
79,2021-05-21,9487
111,2022-05-21,14730
29,2022-04-06,5572
